"K","exclus","semcoh","heldout"
8,9.33098253259399,-75.6459483092196,-4.18611804610084
9,9.37560106212227,-78.9482193554997,-4.2032452477865
10,9.38194968542202,-78.5860012993751,-4.16853116429632
11,9.38491018457311,-78.7014989197724,-4.16792240364585
12,9.38906771920314,-78.8926516638616,-4.1765108024355
13,9.37329664678746,-79.063787987021,-4.17745415957286
14,9.38726407374264,-79.9438527860664,-4.17928128391066
15,9.39180793555884,-79.8282322269778,-4.15985642332288
16,9.3900885342483,-79.1713780601379,-4.16667563565949
